date,actual value,predict value,accuracy %
20230101,9065.43,-3594.10,-39.65
20230201,3749.45,-4070.90,-108.57
20230301,13906.52,-19330.46,-139.00
20230401,15930.83,-14009.39,-87.94
20230501,17773.25,-12025.83,-67.66
20230601,13246.68,-9537.84,-72.00
20230701,13191.52,-15271.92,-115.77
20230801,12941.86,-18276.31,-141.22
20230901,14110.05,-20728.30,-146.90
20231001,25557.27,-30079.50,-117.69
20231101,24003.00,-31190.68,-129.94
20231201,37333.44,-36988.08,-99.07
,,average accuracy,-105.45
,,min. accuracy,-146.9
