date,actual value,predict value,accuracy %
20230101,9065.43,-4127.13,-45.53
20230201,3749.45,-4426.41,-118.05
20230301,13906.52,-20123.25,-144.70
20230401,15930.83,-14550.35,-91.33
20230501,17773.25,-12750.64,-71.74
20230601,13246.68,-10152.26,-76.64
20230701,13191.52,-16196.23,-122.78
20230801,12941.86,-19528.81,-150.90
20230901,14110.05,-21984.50,-155.81
20231001,25557.27,-31513.12,-123.30
20231101,24003.00,-32428.04,-135.10
20231201,37333.44,-38067.19,-101.97
,,average accuracy,-111.49
,,min. accuracy,-155.81
